"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"04";"Idrico";"Via Rugabella 4/6";"967 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"967";"REALE"
"05";"Idrico";"Via A. Sassi 4";"5 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5";"REALE"
"06";"Idrico";"Via Sassi 4 P.ssa Jolanda";"958 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"958";"REALE"
"08";"Idrico";"Via Livigno 3";"088 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"088";"REALE"
"09";"Idrico";"Via Calvairate 1";"523 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"523";"REALE"
"10";"Idrico";"Via Polesine 6";"4 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4";"REALE"
"11b";"Idrico";"Via Adriano 99 e  7";"650 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"650";"REALE"
"12";"Idrico";"POT Bollate";"295 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"295";"REALE"
"14";"Idrico";"viale Piceno 60";"6 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"6";"REALE"
"15";"Idrico";"via Clericetti 22";"82 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"82";"REALE"
"17";"Idrico";"via Fantoli 7 ";"1 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"05";"Idrico";"Via A. Sassi 4";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"02";"Idrico";"Via Don Orione 2";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"03";"Idrico";"Via Farini 9";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"05";"Idrico";"Via A. Sassi 4";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"08";"Idrico";"Via Livigno 3";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"09";"Idrico";"Via Calvairate 1";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"10";"Idrico";"Via Polesine 6";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"12";"Idrico";"POT Bollate";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"14";"Idrico";"viale Piceno 60";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
